Table 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ignore this column;Use this column: every time you see a business here that is not in the weights sheet delete the row!;;1/1/00;2/1/00;3/1/00;4/1/00;5/1/00;6/1/00;7/1/00;8/1/00;9/1/00;10/1/00;11/1/00;12/1/00;1/1/01;2/1/01;3/1/01;4/1/01;5/1/01;6/1/01;7/1/01;8/1/01;9/1/01;10/1/01;11/1/01;12/1/01;1/1/02;2/1/02;3/1/02;4/1/02;5/1/02;6/1/02;7/1/02;8/1/02;9/1/02;10/1/02;11/1/02;12/1/02;1/1/03;2/1/03;3/1/03;4/1/03;5/1/03;6/1/03;7/1/03;8/1/03;9/1/03;10/1/03;11/1/03;12/1/03;1/1/04;2/1/04;3/1/04;4/1/04;5/1/04;6/1/04;7/1/04;8/1/04;9/1/04;10/1/04;11/1/04;12/1/04;1/1/05;2/1/05;3/1/05;4/1/05;5/1/05;6/1/05;7/1/05;8/1/05;9/1/05;10/1/05;11/1/05;12/1/05;1/1/06;2/1/06;3/1/06;4/1/06;5/1/06;6/1/06;7/1/06;8/1/06;9/1/06;10/1/06;11/1/06;12/1/06;1/1/07;2/1/07;3/1/07;4/1/07;5/1/07;6/1/07;7/1/07;8/1/07;9/1/07;10/1/07;11/1/07;12/1/07;1/1/08;2/1/08;3/1/08;4/1/08;5/1/08;6/1/08;7/1/08;8/1/08;9/1/08;10/1/08;11/1/08;12/1/08;1/1/09;2/1/09;3/1/09;4/1/09;5/1/09;6/1/09;7/1/09;8/1/09;9/1/09;10/1/09;11/1/09;12/1/09;1/1/10;2/1/10;3/1/10;4/1/10;5/1/10;6/1/10;7/1/10;8/1/10;9/1/10;10/1/10;11/1/10;12/1/10;1/1/11;2/1/11;3/1/11;4/1/11;5/1/11;6/1/11;7/1/11;8/1/11;9/1/11;10/1/11;11/1/11;12/1/11;1/1/12;2/1/12;3/1/12;4/1/12;5/1/12;6/1/12;7/1/12;8/1/12;9/1/12;10/1/12;11/1/12;12/1/12;1/1/13;2/1/13;3/1/13;4/1/13;5/1/13;6/1/13;7/1/13;8/1/13;9/1/13;10/1/13;11/1/13;12/1/13;1/1/14;2/1/14;3/1/14;4/1/14;5/1/14;6/1/14;7/1/14;8/1/14;9/1/14;10/1/14;11/1/14;12/1/14;1/1/15;2/1/15;3/1/15;4/1/15;5/1/15;6/1/15;7/1/15;8/1/15;9/1/15;10/1/15;11/1/15;12/1/15;1/1/16;2/1/16;3/1/16;4/1/16;5/1/16;6/1/16;7/1/16;8/1/16;9/1/16;10/1/16;11/1/16;12/1/16;1/1/17;2/1/17;3/1/17;4/1/17;5/1/17;6/1/17;7/1/17;8/1/17;9/1/17;10/1/17;11/1/17;12/1/17;1/1/18;2/1/18;3/1/18;4/1/18;5/1/18;6/1/18;7/1/18;8/1/18;9/1/18;10/1/18;11/1/18;12/1/18;1/1/19;2/1/19;3/1/19;4/1/19;5/1/19;6/1/19;7/1/19;8/1/19;9/1/19;10/1/19;11/1/19;12/1/19;1/1/20;2/1/20;3/1/20;4/1/20;5/1/20;6/1/20;7/1/20;8/1/20;9/1/20;10/1/20;11/1/20;12/1/20;1/1/21;2/1/21;3/1/21;4/1/21;5/1/21;6/1/21;7/1/21;8/1/21;9/1/21;10/1/21;11/1/21;12/1/21;1/1/22;2/1/22;3/1/22;4/1/22;5/1/22;6/1/22;7/1/22;8/1/22;9/1/22;10/1/22;11/1/22
NEWAVE N DEAD - 17/08/12 - TOT RETURN IND;NEWAVE N DEAD ;NEWAVE ENERGY HOLD ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99,07;100,93;100,75;113,55;108,04;111,21;86,92;85,61;76,17;82,24;86,26;93,46;86,45;90,47;78,5;76,64;74,67;72,9;70,28;59,81;57,48;56,07;58,88;58,13;60,93;76,64;85,05;79,35;79,25;78,5;78,04;78,5;79,44;87,81;81,13;83,04;88,29;85,9;88,57;86,38;86,86;95,83;95,45;96,11;101,36;100,51;104,87;98,74;78,12;86,58;79,19;80,65;77,24;108,18;108,18;106,82;106,04;106,23;106,23;106,04;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13;106,13
NEWRON PHARMACEUTICALS - TOT RETURN IND;NEWRON PHARMACEUTICALS ;NEWRON PHARMA ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100,38;114,88;110,73;111,11;110,17;116,76;135,78;141,15;123,35;116,76;113,94;89,64;96,05;60,55;71,37;65,91;60,26;64,78;57,25;46,14;55,56;54,9;47,74;36,63;26,18;41,9;34,84;33,05;31,54;36,72;50,66;41,71;40,87;40,11;34,93;35,03;35,22;36,82;35,03;39,55;38,42;13,07;11,73;10,56;12,9;11,68;9,98;10,34;10,51;13,28;13,58;13,07;12,43;11,86;10,92;10,68;9,13;8,1;5,88;3,94;4,14;4,43;4,76;6,69;7,48;8,85;8,53;12,43;16,29;14,69;15,91;15,52;15,14;15,54;14,82;15,42;15,05;15,35;16,97;16,61;16,29;16,65;24,39;32,77;31,64;32,11;33,33;30,04;28,81;33,24;31,26;29,85;30,13;31,26;28,44;46,23;49,34;49,44;65,73;57,53;57,44;52,92;50,94;55,46;48,78;48,96;54,43;52,07;48,21;48,49;38,7;34,09;32,67;31,07;30,23;37,29;46,23;43,41;34,46;34,27;37,95;44,63;44,82;41,9;42,09;41,15;37,66;35,97;33,9;27,59;25,52;21,28;21,85;20,72;19,59;15,59;20,9;19,7;22,94;22,11;19,74;16,67;15,4;14,6;10,56;14,46;16,85;17,7;17,21;12,92;12,24;11,37;10,62;10,75;12,86;14,12;11,96;12,17;10,23;9,79;11,77;3,5;3,11;2,69;3,84;3,54;3,33;3,99;4,05;5,27;5,57;4,9;4,33;4,88;4,73;4,33;4,05;3,95;3,58;3,21;2,98;2,66;2,73;2,45;2,56;2,71;2,73;2,69;2,6;2,28;2,42
NOBEL BIOCARE HOLDING DEAD - 10/06/15 - TOT RETURN IND;NOBEL BIOCARE HOLDING DEAD ;NOBEL BIOCARE HLDG ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;95,05;71,7;72,74;58,02;79,01;78,4;83,87;78,02;75,28;68,3;71,49;80,3;84,83;95,56;109,14;107,47;113,43;116,76;119,38;133,44;158,94;170,14;165,85;174,82;185,15;169,3;172,42;183,95;187,31;195;204,41;204,12;247,83;246,87;250,23;242,63;248,45;269,32;265,43;300,86;296,49;299,89;280,48;288,97;285,09;282,9;297,46;286,04;286,29;286,04;303,46;301,5;340,02;321,37;353,51;408,46;395,7;431,28;429,31;423,58;404,01;361,65;325,49;306,91;329,7;317,98;302,5;267,56;250,34;238,91;190,98;213,68;165,43;164,92;192,4;187,11;101,7;89,13;109,03;91,11;93,15;100,53;122,94;128,6;125,77;136,67;164,03;177,44;152,18;157,21;182,26;165,6;141,49;149,02;127,23;114,84;95,61;96,62;87,43;93,95;85,3;88,5;97;103,94;94,54;102,87;103,09;100,21;94,28;82,2;54,73;49,45;55,81;62,4;59,41;70,18;58,37;62,56;61,51;55,12;53,13;49,58;51,51;53,19;46,69;41,67;42,77;52,14;49;52,36;58,54;65,86;64,73;63,61;78,24;77,68;85,56;76,56;78,24;79,09;69,52;73,47;70,04;77,47;77,47;91,48;96,62;96,91;97,2;97,77;97,77;97,77;98,05;98,05;97,77;96,91;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2;97,2
NORINVEST HOLDING N DEAD - 28/04/17 - TOT RETURN IND;NORINVEST HOLDING N DEAD ;NORINVEST HOLDING ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;96,28;82,16;70,47;64,18;54,69;70,47;68,04;64,18;101,41;82,16;74,45;62,9;66,11;68,29;68,55;69,83;70,35;67,01;63,67;59,82;55,07;54,94;52,63;51,35;51,6;53,4;52,63;50,71;49,42;51,35;48,78;48,78;46,21;44,93;45,57;44,93;42,36;38,13;37,87;28,24;35,56;30,81;29,01;31,19;28,5;26,96;27,6;23,75;25,03;25,42;24,01;22,59;20,92;23,23;20,28;17,84;17,71;18,49;20,54;20,15;17,71;31,32;28,11;27,98;25,67;32,09;46,21;40,05;39,92;41,98;35,3;38,51;35,82;36,59;38,64;35,94;35,43;34,92;34,15;33,38;38,9;34,66;34,02;34,02;33,63;34,92;35,94;34,02;35,3;34,15;34,15;34,66;32,73;34,92;35,3;33,63;26,96;22,21;22,59;21,18;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8
NOVARTIS 'R' - TOT RETURN IND;NOVARTIS 'R' ;NOVARTIS ;3887,84;3475,45;3520,34;3841,28;4042,15;4197,23;4374,22;4343,88;4458,5;4530,98;4596,72;4897,25;4984,24;4806,79;4973,8;4777,7;4749,51;4844,64;4598,01;4277,38;4213,96;4404,22;4333,75;4051,88;4228,05;4139,97;4527,54;4725,23;4853,81;4803,81;4664,52;4264,5;4228,78;4175,21;3964,48;3950,2;3603,75;3582,32;3589,46;3624,38;3897,57;3857,5;3788,29;3795,58;3824,72;3737,3;3784,65;3992,28;4090,63;4170,77;4189,7;4041,39;4315,75;4160,03;4111,83;4263,85;4393,62;4360,25;4286,09;4122,95;4300,93;4226,77;4345,42;4227,79;4408,98;4639,25;4635,47;4752,49;4605,27;5046,93;5258,32;5277,19;5213,02;5397,99;5401,76;5593,46;5459,18;5186,8;5121,58;5363,27;5393,96;5589,62;5804,46;5286,55;5390,13;5547,42;5163,78;5264,38;5510,78;5413;5342,6;5107,93;4974,95;5037,53;4810,68;4994,51;4857,62;4290,5;4097,28;4190,03;4250,52;4516,68;4524,75;5036,91;4960,29;4786,88;4839,3;4460,23;4250,52;3827,89;3482,08;3672,91;3664,46;3588,47;3765,78;4091,7;4138,98;4361,05;4529,92;4749,45;4770,55;4833,88;5087,18;4958,42;4787,89;4578,01;4459,96;4529,91;4726,68;4892,84;5010,89;4739,8;4849,11;4652,35;4843,32;4565,13;4679,14;4929,98;4715,63;4423,75;4286,94;4638,1;4487,6;4542,33;4898,05;4642,66;4702,29;4848,16;4771,89;4764,26;5086,52;5463,12;5386,84;5553,7;5410,68;5496,49;5477,42;5877,86;6366,73;6668,26;6826,44;6692,97;6653,43;6584,23;6905,53;6870,93;6950,02;7123,02;7038,99;7063,71;7355,68;7585,54;7794,97;8147,43;8285,35;8127;8775,73;9174,16;9020,92;9516,41;9434,68;9194,59;10011,89;10123,21;10144,21;10222,93;9776,86;10611,27;9624,66;9357,02;9388,51;9241,57;9110,37;8239,21;7874,63;7460,75;7978,11;8571,7;8762,3;8745,96;8288,52;8375,65;7607,79;7498,88;8070,68;7901,86;8577,14;8391,51;8639,81;8955,83;9096,91;9300,07;9125,13;9503,23;9424,22;9458,08;9300,07;9426,48;8853,13;9039,27;8973,75;8739,76;8634,46;9738,92;9479,19;9944,84;10316,89;10684,27;9832,52;10204,57;10663,21;11596;11365,38;11947,24;12329,68;12492,22;12104,32;11690,46;11807,92;12347,44;12552,32;12490,86;11200,11;11168,84;11644,47;11753,47;11722,32;10955,09;11181,58;11381,17;10350,64;11518,48;11841,23;11449,12;11280,67;11928,03;11547,34;11656,11;12408,68;12313,14;12443,96;11179,87;11256,3;10912,35;11807,5;11920,68;11844,25;12341,02;13112,72;13195,4;12299,68;12510,98;12028,67;11633,63;12357,86
OBSEVA - TOT RETURN IND;OBSEVA ;OBSEVA SA ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;112,45;82,58;59,23;74,42;61,55;66,91;54,76;72,79;91,5;87,12;83,78;103,35;114,94;116,31;99,91;113,3;131,5;114,08;112,02;152,7;141,46;128,33;108,67;108,76;109,01;111,5;121,29;105,41;95,97;78,11;81,72;69,53;66,95;38,88;32,79;31,16;26,35;18,54;20,17;37,94;51,16;22,32;23,52;20,6;16,57;18,54;17,85;32,88;33,05;28,76;25,24;24,81;25,67;21,72;26,09;26,61;21,97;18,45;18,63;13,13;11,42;13,05;13,05;15,79;15,11;2,06;1,52;1,32;1,54
OC OERLIKON CORPORATION - TOT RETURN IND;OC OERLIKON CORPORATION ;OC OERLIKON CORP ;287,71;332,22;400,55;361,89;352,45;355,14;392,01;373,13;404,14;448,65;390,66;333,57;328,17;334,46;288,61;244,55;278,27;274,61;233,44;187,97;144,77;106,77;127,35;146,8;161,96;153,59;161,96;168,52;164,67;171,67;156,35;129,84;118,64;76,81;79,78;107,89;84,58;75,71;75,02;82,2;98,98;109,86;97,05;115,44;134,76;145,7;165,02;171,3;163,15;178,28;178,75;161,76;140,81;130,8;134,07;122,51;101,97;105,75;94,51;113,68;107,73;129,26;149,75;160,42;163,16;168,44;168,82;174,49;167,31;165,52;164,67;177,22;186,85;228,97;262,48;370,12;390,42;327,87;327,16;330,46;341,8;398,45;447,54;486,26;568,87;632,6;560,37;678,87;617,97;648,18;614,19;508,92;372,72;404,35;506,08;486,73;446,84;381,45;312,05;338,73;339,43;331,88;253,51;243,6;243,6;204,13;90,5;76,81;65,15;34,07;20,85;37,26;62,32;59,01;58,54;60,9;59,77;76,76;61,14;53,39;29,91;28,34;33,42;33,99;47,96;37,19;28,87;29,69;26,62;28,53;35,42;31,53;34,94;40,47;42,65;48,73;50,43;48,86;47,43;45,79;39,58;34,05;34,46;35,62;34,33;42,72;47,43;54,67;62,63;55,02;55,79;55,79;60,67;64,65;65,28;70,52;72,26;79,25;82,39;78,55;75,06;82,18;80,39;86,82;83,96;87,54;93,97;94,33;95,4;100,04;105,4;108,26;101,93;100,48;93,92;89,55;92,47;85,91;87,37;85,91;91,01;77,18;86,28;83;91,78;90,28;86,55;90,66;76,85;71,11;72,23;72,6;66,78;67,67;71,63;72,82;70,2;68,2;66,43;69,89;73,59;74,98;70,82;72,67;77,06;85,15;85,15;82,45;94,69;99,05;101,43;112,13;109,75;120,05;128,37;126,79;130,35;130,11;123,06;133,52;130,71;131,69;119,77;124,88;114,1;109,56;97,08;96,35;89,47;103,73;109,24;104,78;116,2;95,58;106,15;93,31;79,72;86,1;88,68;96,98;99,25;89,81;76,67;66,09;71,52;77,21;75,67;77,11;82;73,15;65,78;85,32;90,51;91,99;101,29;110;112,37;107,26;105,83;105,63;105,52;101,8;96,48;93,98;96,74;92,04;81,11;76,1;73,47;79,59;70,94;78,79;75,51;67,62;70,09
ONE SWISS BANK - TOT RETURN IND;ONE SWISS BANK ;ONE SWISS BANK SA ;142,78;144,69;145,74;145,94;142,82;142,86;148,3;145;143,64;148,92;143,87;144,08;147,8;149,78;149,97;150,18;150,38;146,19;152,62;151,08;142,41;151,52;151,77;144,85;147,75;146,74;145,33;145,73;145,05;144,37;153,6;149,31;145;145,56;154,51;151,08;154,94;151,52;149,89;151,91;154,73;148,4;150,3;147,64;147,71;150,54;150,07;149,77;154,45;154,53;155,34;154,68;154,76;154,3;154,95;155,04;151,44;149,69;152,55;148,02;162,92;161,16;160,69;160,6;159,03;159,32;161,29;160,1;161,14;162,02;167,78;189,73;193,71;211,1;231,4;387,06;365,92;319,57;346,8;339,16;329,59;346,96;347,27;320,22;326,15;324,33;320,55;217,67;258,8;216,14;221,9;188,91;234,8;215,41;197;185,41;185,52;214,94;195,51;174,1;174,22;166,5;156,81;156,93;157,05;135,57;127,82;116,07;157,39;157,39;186,9;186,9;186,9;177,06;177,06;196,74;190,64;181;206,57;196,74;183,75;184,73;167,22;189,85;174,11;156,99;162,11;142,63;161,13;143,42;143,42;147,55;127,88;127,88;133,58;120,99;122,76;129,24;154,79;153,37;143,22;156,67;140,92;145,73;166,39;182,89;208,2;206,8;223,06;202,24;231,39;249,23;190,34;187,96;160,6;130,86;157,03;151,09;160,01;148,71;135,03;127,89;129,67;134,43;133,24;169,53;177,85;179,64;176,07;166,55;184,99;252,8;237,34;184,99;184,99;158,22;168,34;142,76;151,68;133,84;130,27;121,94;105,88;89,22;84,47;98,15;101,72;91,01;91,01;88,03;85,06;85,65;85,06;74,35;71,97;71,97;77,33;82,68;80,3;74,35;77,92;95,17;136,81;152,28;251,61;279,57;246,26;261,72;291,46;267,08;264,7;267,67;267,67;235,55;295,03;245,07;242,69;220,09;190,34;202,24;200,41;214,18;211,17;191,41;193,25;193,8;215,06;191,36;198,06;215,98;211,64;198,68;210,46;197,48;199,3;206,23;181,85;167,35;150,35;162,37;141,45;123,63;100,47;85,61;88,02;106,28;103,67;110,84;109,54;105,63;103,67;151,27;157,79;119,97;126,49;117,78;145,75;151,5;160,25;256,18;273,7;253,96;219,34;224,31;237,23;239,3;219,31;223,22;183,24;182,12;150,97;171,14;154,32;160,48;156,78
ORASCOM DEV.HOLDING N - TOT RETURN IND;ORASCOM DEV.HOLDING N ;ORASCOM DEVELOPMENT ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99,39;71,72;70,55;60,58;44,69;20,28;25,15;20,74;17,18;16,26;21,17;20,67;26,87;31,41;38,32;42,41;54,63;49,68;52,93;45,16;41,23;44,76;47,2;40,86;36,53;37,64;36,96;32,5;34,04;38,11;37,91;36,05;31,03;28,28;28,78;24,48;22,76;18,99;17,47;12,27;11,95;12,29;10,38;9,8;9,42;11,74;11,09;10,51;10,24;10,24;9,32;9,66;10,45;10,85;8,19;8,64;8,19;8,4;7,51;6,23;6,66;5,97;6,01;5,12;5,99;8,53;9,08;9,93;10,04;10,65;9,59;9,35;10,62;13,79;13,07;13,59;12,56;12,08;13,24;12,32;10,55;10,38;10,65;9,83;9,56;8,23;8,19;8,19;8,09;8,74;6,47;7;6,01;5,93;5,94;5,6;5,37;5,05;4,91;4,54;4,14;4,04;3,28;3,49;3,38;3,57;3,7;3,78;4,1;4,04;4,57;5,02;5,5;7,92;7,17;7,51;11,44;10,48;10,45;10,48;10,55;9,9;9,59;8,57;8,23;10,21;10,38;10,17;11,13;10,89;11,61;11,26;10,06;10,39;10,23;10,24;10,31;10,1;10,32;10,43;9,5;7,84;5,46;5,7;6,47;5,9;6,21;6,19;6,13;5,32;6,28;6,3;7;7,56;7,3;6,96;7,93;8,52;7,99;7,67;7,61;7,37;7,17;7,5;7,06;6,95;6,29;6,14;6,14;4,82;5,53;5,32;5,6;4,92
ORELL FUSSLI AG - TOT RETURN IND;ORELL FUSSLI AG ;ORELL FUESSLI HOLD ;846,64;798,12;911,01;930,81;891,2;891,2;924,87;964,71;974,85;1014,44;1030,35;1014,44;1062,18;1054,22;1012,45;974,66;656,4;522,14;512,19;461,51;400,31;346,13;316,03;331,08;302,99;311,01;300,98;280,92;315,03;313,02;296,97;260,85;273,17;226,96;197,18;203,34;203,34;201,29;205,39;185,88;211,56;219,89;249,49;266,41;282,27;314,62;303,2;298,12;300,24;332,16;335,97;296,01;310,81;305,45;302,2;303,28;298,95;285,95;284,87;292,45;292,45;318,44;343,36;330,36;327,11;335,77;335,77;349,12;329,1;353,56;344,67;348,89;333,55;350,23;352,23;346,45;346,89;344,8;324,39;328,92;347,07;341,4;342,31;357,28;357,28;419,66;444,61;460,49;472,97;472,73;463,46;456,5;440,28;455,35;479,68;472,73;481,99;460,91;464,61;452,1;463,46;474,63;458,7;461,08;480,09;438,5;439,45;344,62;380,27;330,36;330,36;322,04;339,87;382,4;359,91;385,9;361,16;364,91;368,66;349,91;352,66;347,41;341,16;350,66;356,16;351,26;352,02;352,53;353,3;333,2;363,72;364,74;363,72;356,09;340,58;335,24;335,49;351,32;331,37;319,97;304,95;274,63;273,6;267,64;274,37;277,74;267,9;262,97;258,96;253,85;251,21;264,43;259,01;262,98;257,82;256,1;244,6;246,58;245,92;239,31;236,67;232,7;232,7;230,06;246,32;237,99;239,84;235,48;236,67;256,5;257,82;256,23;269,19;282,94;279,24;261,79;257,82;246,45;245,92;244,6;245,26;237,86;237,2;253,46;251,21;285,59;301,45;310,44;317,32;304,1;290,88;290,88;296,43;300,13;285,59;337,15;339,27;324,4;324,4;340,62;330,35;335,21;337,91;327,37;337,91;336,56;350,62;355,49;348,46;362,63;360,68;357,62;327,57;334,25;343,15;306,14;313,93;314,49;297,79;308,92;320,05;319,86;308,33;316,97;265,11;259,34;280,95;249,26;255,02;239,17;267,99;279,51;278,07;274,72;279,33;280,86;279,33;282,39;299,28;302,35;305,42;346,85;325,37;282,39;284,24;285,46;293,34;295,31;297,93;301,21;304,5;328,12;351,09;352,73;377,34;374,06;364,21;335,97;327,87;335,3;313,71;309,66;317,75;303,59;313,71;304,94;300,21;296,84;296,84;301,43;297,93;289,51;298,63;285,31;280,4
