Month;Index
1/11/2017;0,0131566502205936
1/12/2017;-0,00953675108952131
1/1/2018;0,017352495834431
1/2/2018;0,000189142312526481
1/3/2018;-0,0285054961437832
1/4/2018;0,00245145490772615
1/5/2018;0,0246095597412823
1/6/2018;-0,00823698524687865
1/7/2018;-0,00688935919093471
1/8/2018;0,0233934879358262
1/9/2018;-0,00361675213333671
1/10/2018;-0,000467313960796493
1/11/2018;-0,019413072975939
1/12/2018;-0,00870297171473478
1/1/2019;-0,0478790894084452
1/2/2019;0,03880344085488
1/3/2019;0,0224114481136525
1/4/2019;0,014751001858552
1/5/2019;0,0263530781600628
1/6/2019;-0,0171698123229974
1/7/2019;0,0213243515667037
1/8/2019;-0,00421748566774989
1/9/2019;-0,00512148219471492
1/10/2019;0,00670104263473522
1/11/2019;0,0170301663378111
1/12/2019;0,0116148347306871
1/1/2020;0,0134442219651214
1/2/2020;-0,00176391108098296
1/3/2020;-0,0327838224293794
1/4/2020;-0,0603551080084597
1/5/2020;0,0395685753316924
1/6/2020;0,0167858659247748
1/7/2020;0,00989609297902533
1/8/2020;0,00436741302979742
1/9/2020;0,0194383152404472
1/10/2020;0,000935841839939012
1/11/2020;-0,0252915283854095
1/12/2020;0,0919464350987913
1/1/2021;0,0229200150246509
1/2/2021;-0,000560275772394705
1/3/2021;0,0142802241595822
1/4/2021;0,0354386475683713
1/5/2021;0,00293503907305275
1/6/2021;0,0174770291709527
1/7/2021;0,0204537573430226
1/8/2021;0,0143199166836881
1/9/2021;0,0134762026089591
1/10/2021;-0,0303464785218017
1/11/2021;0,0207842354339727
1/12/2021;-0,0309591932212931
1/1/2022;0,0381723441024965
1/2/2022;-0,0277230425593395
1/3/2022;-0,0301014737258257
1/4/2022;0,0231414163840002
1/5/2022;-0,00774912456050725
1/6/2022;-0,020234777157503
